Multiplier,Vertices,Edges,Graph Size (Bytes),Graph Size (KB),Graph Size (MB),Graph Size (GB),Dijkstra (Metal) Time (s),Dijkstra (CPU) Time (s)
1,10000,50000,600000,585.937500,0.572205,0.000559,0.852941,3.588707
2,20000,100000,1200000,1171.875000,1.144409,0.001118,1.663745,14.269353
3,30000,150000,1800000,1757.812500,1.716614,0.001676,2.490734,32.301096
4,40000,200000,2400000,2343.750000,2.288818,0.002235,3.244922,57.150807
5,50000,250000,3000000,2929.687500,2.861023,0.002794,4.094160,89.441491
6,60000,300000,3600000,3515.625000,3.433228,0.003353,4.852876,128.663673
7,70000,350000,4200000,4101.562500,4.005432,0.003912,5.771527,175.376216
8,80000,400000,4800000,4687.500000,4.577637,0.004470,6.646363,228.828615
9,90000,450000,5400000,5273.437500,5.149841,0.005029,7.371386,289.508988
10,100000,500000,6000000,5859.375000,5.722046,0.005588,8.066119,360.491938
